app_id,tracker,data_type,transmission_type,platform
com.autoscout24.lab,adjust,app_version,pseudonymously,ios
com.autoscout24.lab,adjust,idfv,pseudonymously,ios
com.autoscout24.lab,adjust,model,pseudonymously,ios
com.autoscout24.lab,adjust,os,pseudonymously,ios
com.autoscout24.lab,adjust,app_id,pseudonymously,ios
com.autoscout24.lab,apple,other_uuids,pseudonymously,ios
com.autoscout24.lab,apple,app_id,pseudonymously,ios
com.autoscout24.lab,ioam,app_id,pseudonymously,ios
com.autoscout24.lab,ioam,app_version,pseudonymously,ios
com.autoscout24.lab,ioam,other_uuids,pseudonymously,ios
com.autoscout24.lab,ioam,model,pseudonymously,ios
com.autoscout24.lab,ioam,os,pseudonymously,ios
com.autoscout24.lab,ioam,language,pseudonymously,ios
com.autoscout24.lab,ioam,carrier,pseudonymously,ios
com.autoscout24.lab,ioam,screen_size,pseudonymously,ios
com.autoscout24.lab,ioam,country,pseudonymously,ios
com.planner5d.planner5d,<indicators>,model,pseudonymously,android
com.planner5d.planner5d,<indicators>,app_id,pseudonymously,android
com.planner5d.planner5d,<indicators>,idfa,pseudonymously,android
com.planner5d.planner5d,facebook,app_id,pseudonymously,android
com.planner5d.planner5d,facebook,app_version,pseudonymously,android
com.planner5d.planner5d,facebook,other_uuids,pseudonymously,android
com.planner5d.planner5d,facebook,model,pseudonymously,android
com.planner5d.planner5d,facebook,emulator,pseudonymously,android
com.planner5d.planner5d,facebook,rooted,pseudonymously,android
com.planner5d.planner5d,facebook,carrier,pseudonymously,android
com.planner5d.planner5d,facebook,screen_size,pseudonymously,android
com.planner5d.planner5d,facebook,os,pseudonymously,android
com.planner5d.planner5d,facebook,is_charging,pseudonymously,android
com.planner5d.planner5d,facebook,battery_percentage,pseudonymously,android
com.planner5d.planner5d,facebook,ram_usage,pseudonymously,android
com.planner5d.planner5d,facebook,disk_usage,pseudonymously,android
com.planner5d.planner5d,facebook,language,pseudonymously,android
com.planner5d.planner5d,facebook,idfa,pseudonymously,android
com.planner5d.planner5d,facebook,accelerometer,pseudonymously,android
com.planner5d.planner5d,facebook,rotation,pseudonymously,android
