tracker,data_type,platform,transmission_type,count
adjust,app_version,ios,pseudonymously,29
adjust,idfv,ios,pseudonymously,29
adjust,model,ios,pseudonymously,29
adjust,os,ios,pseudonymously,29
adjust,app_id,ios,pseudonymously,29
apple,other_uuids,ios,pseudonymously,18
apple,app_id,ios,pseudonymously,18
ioam,app_id,ios,pseudonymously,13
ioam,app_version,ios,pseudonymously,13
ioam,other_uuids,ios,pseudonymously,13
ioam,model,ios,pseudonymously,13
ioam,os,ios,pseudonymously,13
ioam,language,ios,pseudonymously,13
ioam,carrier,ios,pseudonymously,13
ioam,screen_size,ios,pseudonymously,13
ioam,country,ios,pseudonymously,13
adcolony,app_id,android,pseudonymously,2
adcolony,app_version,android,pseudonymously,2
adcolony,os,android,pseudonymously,2
adcolony,idfa,android,pseudonymously,2
adcolony,other_uuids,android,pseudonymously,2
adcolony,carrier,android,pseudonymously,2
adcolony,language,android,pseudonymously,2
adcolony,model,android,pseudonymously,2
adcolony,battery_percentage,android,pseudonymously,2
adcolony,orientation,android,pseudonymously,2
adcolony,timezone,android,pseudonymously,2
adcolony,screen_size,android,pseudonymously,2
adcolony,network_connection_type,android,pseudonymously,2
adcolony,architecture,android,pseudonymously,2
adcolony,dark_mode,android,pseudonymously,2
adcolony,app_name,android,pseudonymously,2
<indicators>,model,android,pseudonymously,53
<indicators>,app_id,android,pseudonymously,59
<indicators>,idfa,android,pseudonymously,33
firebase,app_id,android,pseudonymously,29
firebase,app_version,android,pseudonymously,29
firebase,idfa,android,pseudonymously,27
firebase,os,android,pseudonymously,29
facebook,app_id,android,pseudonymously,35
facebook,app_version,android,pseudonymously,29
facebook,other_uuids,android,pseudonymously,35
facebook,model,android,pseudonymously,29
facebook,emulator,android,pseudonymously,29
facebook,rooted,android,pseudonymously,29
facebook,carrier,android,pseudonymously,29
facebook,screen_size,android,pseudonymously,29
facebook,os,android,pseudonymously,35
facebook,is_charging,android,pseudonymously,29
facebook,battery_percentage,android,pseudonymously,29
