tracker,data_type,platform,transmission_type,count
<indicators>,app_id,android,pseudonymously,1493
<indicators>,model,android,pseudonymously,1036
<indicators>,idfa,android,pseudonymously,714
<indicators>,location,android,pseudonymously,123
facebook,app_id,android,pseudonymously,687
facebook,idfa,android,pseudonymously,573
facebook,other_uuids,android,pseudonymously,687
facebook,os,android,pseudonymously,687
facebook,app_version,android,pseudonymously,310
facebook,model,android,pseudonymously,310
facebook,emulator,android,pseudonymously,306
facebook,rooted,android,pseudonymously,310
facebook,carrier,android,pseudonymously,310
facebook,screen_size,android,pseudonymously,310
facebook,is_charging,android,pseudonymously,306
facebook,battery_percentage,android,pseudonymously,306
facebook,ram_usage,android,pseudonymously,306
facebook,disk_usage,android,pseudonymously,306
facebook,accelerometer,android,pseudonymously,305
facebook,language,android,pseudonymously,310
facebook,rotation,android,pseudonymously,305
supersonic,app_version,android,pseudonymously,108
supersonic,app_id,android,pseudonymously,108
supersonic,carrier,android,pseudonymously,108
supersonic,timezone,android,pseudonymously,103
supersonic,idfa,android,pseudonymously,108
supersonic,other_uuids,android,pseudonymously,108
supersonic,language,android,pseudonymously,108
supersonic,battery_percentage,android,pseudonymously,108
supersonic,network_connection_type,android,pseudonymously,108
supersonic,ram_usage,android,pseudonymously,108
supersonic,os,android,pseudonymously,108
supersonic,model,android,pseudonymously,108
supersonic,rooted,android,pseudonymously,108
vungle,model,android,pseudonymously,90
vungle,os,android,pseudonymously,90
vungle,carrier,android,pseudonymously,90
vungle,screen_size,android,pseudonymously,90
vungle,idfa,android,pseudonymously,87
vungle,battery_percentage,android,pseudonymously,90
vungle,is_charging,android,pseudonymously,90
vungle,network_connection_type,android,pseudonymously,90
vungle,language,android,pseudonymously,90
vungle,timezone,android,pseudonymously,90
vungle,volume,android,pseudonymously,90
vungle,disk_usage,android,pseudonymously,90
vungle,user_agent,android,pseudonymously,90
vungle,app_id,android,pseudonymously,90
vungle,app_version,android,pseudonymously,90
adcolony,idfa,android,pseudonymously,76
adcolony,carrier,android,pseudonymously,77
adcolony,screen_size,android,pseudonymously,77
adcolony,language,android,pseudonymously,77
adcolony,model,android,pseudonymously,77
adcolony,network_connection_type,android,pseudonymously,77
adcolony,os,android,pseudonymously,77
adcolony,architecture,android,pseudonymously,77
adcolony,battery_percentage,android,pseudonymously,77
adcolony,timezone,android,pseudonymously,76
adcolony,orientation,android,pseudonymously,77
adcolony,dark_mode,android,pseudonymously,75
adcolony,app_name,android,pseudonymously,77
adcolony,app_version,android,pseudonymously,77
adcolony,app_id,android,pseudonymously,68
adcolony,other_uuids,android,pseudonymously,69
doubleclick,model,android,anonymously,462
doubleclick,volume,android,anonymously,462
doubleclick,language,android,anonymously,462
doubleclick,network_connection_type,android,anonymously,462
doubleclick,app_name,android,anonymously,462
firebase,app_id,android,pseudonymously,1230
firebase,app_version,android,pseudonymously,1230
firebase,idfa,android,pseudonymously,1199
firebase,os,android,pseudonymously,1230
unity,app_id,android,anonymously,129
unity,app_version,android,anonymously,129
unity,model,android,anonymously,129
unity,network_connection_type,android,anonymously,129
unity,screen_size,android,anonymously,129
unity,carrier,android,anonymously,129
unity,timezone,android,anonymously,129
unity,language,android,anonymously,129
unity,volume,android,anonymously,129
unity,disk_usage,android,anonymously,129
unity,battery_percentage,android,anonymously,129
unity,ram_usage,android,anonymously,129
unity,rooted,android,anonymously,129
unity,user_agent,android,anonymously,129
unity,country,android,anonymously,129
<indicators>,app_id,ios,anonymously,1247
firebase,language,ios,anonymously,607
firebase,model,ios,anonymously,607
