tracker,data_type,platform,transmission_type,count
facebook,app_id,android,pseudonymously,4
facebook,app_version,android,pseudonymously,2
facebook,other_uuids,android,pseudonymously,4
facebook,model,android,pseudonymously,2
facebook,emulator,android,pseudonymously,2
facebook,rooted,android,pseudonymously,2
facebook,carrier,android,pseudonymously,2
facebook,screen_size,android,pseudonymously,2
facebook,os,android,pseudonymously,4
facebook,is_charging,android,pseudonymously,2
facebook,battery_percentage,android,pseudonymously,2
facebook,ram_usage,android,pseudonymously,2
facebook,disk_usage,android,pseudonymously,2
facebook,accelerometer,android,pseudonymously,2
facebook,rotation,android,pseudonymously,2
facebook,language,android,pseudonymously,2
<indicators>,app_id,ios,anonymously,5
doubleclick,model,ios,anonymously,2
doubleclick,os,ios,anonymously,2
doubleclick,volume,ios,anonymously,2
doubleclick,language,ios,anonymously,2
doubleclick,network_connection_type,ios,anonymously,2
doubleclick,architecture,ios,anonymously,2
doubleclick,rooted,ios,anonymously,2
doubleclick,app_name,ios,anonymously,2
<indicators>,location,ios,anonymously,2
ironsource,model,ios,anonymously,1
ironsource,os,ios,anonymously,1
ironsource,network_connection_type,ios,anonymously,1
ironsource,app_id,ios,anonymously,1
ironsource,app_version,ios,anonymously,1
<indicators>,idfa,ios,pseudonymously,2
unity,app_id,ios,anonymously,1
unity,app_version,ios,anonymously,1
unity,model,ios,anonymously,1
unity,network_connection_type,ios,anonymously,1
unity,screen_size,ios,anonymously,1
unity,carrier,ios,anonymously,1
unity,timezone,ios,anonymously,1
unity,language,ios,anonymously,1
unity,volume,ios,anonymously,1
unity,disk_usage,ios,anonymously,1
unity,battery_percentage,ios,anonymously,1
unity,ram_usage,ios,anonymously,1
unity,rooted,ios,anonymously,1
unity,user_agent,ios,anonymously,1
unity,country,ios,anonymously,1
supersonic,app_version,ios,pseudonymously,1
supersonic,app_id,ios,pseudonymously,1
supersonic,carrier,ios,pseudonymously,1
supersonic,timezone,ios,pseudonymously,1
supersonic,idfa,ios,pseudonymously,1
supersonic,idfv,ios,pseudonymously,1
supersonic,other_uuids,ios,pseudonymously,1
supersonic,language,ios,pseudonymously,1
supersonic,battery_percentage,ios,pseudonymously,1
supersonic,network_connection_type,ios,pseudonymously,1
supersonic,ram_usage,ios,pseudonymously,1
supersonic,os,ios,pseudonymously,1
supersonic,model,ios,pseudonymously,1
supersonic,rooted,ios,pseudonymously,1
<indicators>,model,android,pseudonymously,5
<indicators>,idfa,android,pseudonymously,5
<indicators>,app_id,android,pseudonymously,5
facebook,idfa,android,pseudonymously,2
adjust,app_id,ios,pseudonymously,1
adjust,app_version,ios,pseudonymously,1
adjust,idfv,ios,pseudonymously,1
adjust,model,ios,pseudonymously,1
adjust,os,ios,pseudonymously,1
adjust,app_id,android,pseudonymously,1
adjust,app_version,android,pseudonymously,1
adjust,idfa,android,pseudonymously,1
adjust,other_uuids,android,pseudonymously,1
adjust,language,android,pseudonymously,1
adjust,model,android,pseudonymously,1
adjust,screen_size,android,pseudonymously,1
adjust,os,android,pseudonymously,1
adjust,country,android,pseudonymously,1
firebase,app_id,android,pseudonymously,1
firebase,app_version,android,pseudonymously,1
firebase,idfa,android,pseudonymously,1
firebase,os,android,pseudonymously,1
mopub,app_version,android,anonymously,1
mopub,app_id,android,anonymously,1
mopub,os,android,anonymously,1
mopub,model,android,anonymously,1
