platform,category,company,count
android,Marketing,Google,148
ios,Marketing,Google,86
ios,Analytics,Google,46
android,Analytics,Google,19
ios,Marketing,Facebook,10
android,Marketing,Facebook,4
ios,Marketing,Adobe,28
android,Marketing,Adobe,4
ios,Analytics,Snowplow,11
ios,Marketing,Yahoo,6
android,Marketing,Yahoo,3
ios,Analytics,Trustpilot,1
ios,Analytics,Adobe,5
android,Analytics,Adobe,2
android,Marketing,openx.net,2
ios,Marketing,openx.net,2
android,Marketing,Microsoft,6
ios,Marketing,Microsoft,7
android,Marketing,Casale Media,10
android,Marketing,Platform161,6
android,Marketing,bidswitch.net,5
android,Marketing,demdex.net,2
android,Marketing,Blueconic.com,2
android,Marketing,Everest Technologies,2
android,Marketing,Rapleaf,2
