name,id,count
Google Advertising Products,755,52
The Trade Desk,21,50
Smart Adserver,45,50
Adform,50,50
"Flashtalking, Inc.",78,50
Amazon Advertising,793,50
RTB House S.A.,16,49
Yahoo EMEA Limited,25,49
"Xandr, Inc.",32,49
"Magnite, Inc. ",52,49
Sizmek by Amazon,68,49
OpenX,69,49
"PubMatic, Inc.",76,49
"MediaMath, Inc.",79,49
Criteo SA,91,49
Meetrics GmbH,152,49
"SpotX, Inc",165,49
advanced store GmbH,195,49
Publicis Media GmbH,226,49
TabMo SAS,275,49
Exactag GmbH,312,49
Otto (GmbH &amp; Co KG),559,49
"Index Exchange, Inc. ",10,48
Amobee Inc.,23,48
Active Agent (ADITION technologies GmbH),40,48
emetriq GmbH,213,48
AudienceProject Aps,394,48
ADITION technologies GmbH,39,47
Taboola Europe Limited,42,47
Yieldlab AG,70,47
Platform161 B.V.,140,47
Improve Digital,253,47
Semasio GmbH,84,46
"LiveRamp, Inc.",97,46
"Teads ",132,46
Mobile Professionals BV,302,46
"Adobe Audience Manager, Adobe Experience Platform",565,46
Online Solution,602,46
GroupM UK Limited,98,45
Dynata LLC,110,45
The Kantar Group Limited,345,45
RevJet,759,45
agof studies,785,45
admetrics GmbH,22,44
Unruly Group LLC,36,44
The ADEX GmbH,44,44
BIDSWITCH GmbH,128,44
The Reach Group GmbH,382,44
Oracle Data Cloud,385,44
Nielsen International SA,812,44
Sovrn Holdings Inc,13,43
"TripleLift, Inc.",28,43
Nano Interactive GmbH,72,43
Comscore B.V.,77,43
smartclip Europe GmbH,115,43
Nielsen Marketing Cloud,373,43
MindTake Research GmbH,703,43
INFOnline GmbH,730,43
AdSpirit GmbH,6,42
Quantcast International Limited,11,42
BeeswaxIO Corporation,12,42
NEORY GmbH,34,42
adsquare GmbH,66,42
Showheroes SE,111,42
Outbrain UK Ltd,164,42
EASYmedia GmbH,168,42
Delta Projects AB,209,42
Wizaly,281,42
Gemius SA,328,42
Commanders Act,416,42
"Salesforce.com, Inc.",506,42
GfK SE,758,42
1plusX AG,92,41
Weborama,284,41
travel audience GmbH,423,41
Rakuten Marketing LLC,60,40
"Smaato, Inc.",82,40
"Celtra, Inc.",315,40
Hearts &amp; Science München GmbH,787,40
"NextRoll, Inc.",130,39
zeotap GmbH,301,39
AdDefend GmbH,539,39
Blis Media Limited,94,38
IPONWEB GmbH,129,38
Ströer SSP GmbH (SSP),136,38
plista GmbH,177,38
Smartology Limited,246,38
Adobe Advertising Cloud,264,38
Opinary GmbH,488,38
Roq.ad Inc.,4,37
Roku Advertising Services,71,37
SMARTSTREAM.TV GmbH,134,37
adality GmbH,649,37
DoubleVerify Inc.​,126,36
Permodo GmbH,139,36
Cloud Technologies S.A.,243,36
Jaduda GmbH,252,36
KUPONA GmbH,424,36
"Exponential Interactive, Inc d/b/a VDX.tv",1,35
Widespace AB,18,35
Justpremium BV,62,35
"SMADEX, S.L.U.",161,35
"Magnite CTV, Inc.",202,35
OneTag Limited,241,35
Jivox Corporation,294,35
Polar Mobile Group Inc.,297,35
"bam! interactive marketing GmbH ",771,35
Objective Partners BV,832,35
"M,P,NEWMEDIA, GmbH",846,35
Epsilon,24,34
NEURAL.ONE,37,34
Simplifi Holdings Inc,73,34
Crimtan Holdings Limited,85,34
Adloox SA,93,34
LoopMe Limited,109,34
Fusio by S4M,119,34
Adacado Technologies Inc. (DBA Adacado),147,34
video intelligence AG,190,34
remerge GmbH,192,34
"Integral Ad Science, Inc.",278,34
On Device Research Limited,304,34
numberly,388,34
Adludio Ltd.,447,34
Neodata Group srl,450,34
AdsWizz Inc.,507,34
Relay42 Netherlands B.V.,631,34
Sportradar AG,655,34
GP One GmbH,657,34
"Liftoff Mobile, Inc.",667,34
Cint AB,734,34
